Field,Type,Null,Key,Default,Extra
user_id,bigint(20),NO,PRI,NULL,auto_increment
dept_id,bigint(20),YES,,NULL,
user_name,varchar(30),NO,,NULL,
nick_name,varchar(30),NO,,NULL,
user_type,varchar(2),YES,,00,
email,varchar(50),YES,,,
phonenumber,varchar(11),YES,,,
sex,char(1),YES,,0,
avatar,varchar(100),YES,,,
password,varchar(100),YES,,,
status,char(1),YES,,0,
del_flag,char(1),YES,,0,
login_ip,varchar(128),YES,,,
login_date,datetime,YES,,NULL,
create_by,varchar(64),YES,,,
create_time,datetime,YES,,NULL,
update_by,varchar(64),YES,,,
update_time,datetime,YES,,NULL,
remark,varchar(500),YES,,NULL,
